text_id,true_label,predicted_label,failure_category,note,text_clean
TXT_00087,Negative,Positive,NEGATION,"""not excited"" — negation scope missed; 'excited' char-grams dominate",I think I may be the only person around not excited that Beyonce is the half time performer for the Superbowl.
TXT_00093,Positive,Negative,NEGATION,"""won't be just a Party"" — double negation reads as negative; actual meaning is enthusiastic",RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMil
TXT_00224,Positive,Negative,NEGATION,"Duplicate of TXT_00093 — same text, same confusion, confirms systematic negation blind spot",RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMil
TXT_00225,Neutral,Negative,NEGATION,"""do not live in...victim mentality"" — negation-heavy phrasing triggers negative features despite neutral/motivational tone","We do not live in Ground Hog Day, we don’t live with a victim mentality, today B rough but tomorrow won’t be the same #E"
TXT_00064,Negative,Positive,MIXED_SENTIMENT,Praises Wilkie ('man of principle') but criticises Garrett — model latches on to positive praise half,@user I may not agree with Wilkie's ideas but he has proven he is a man of principle...It's a pity Peter Garrett cannot 
TXT_00128,Positive,Neutral,MIXED_SENTIMENT,Acknowledges past shortfall ('left us short') then expresses optimism ('Kane saved') — mixed signals,@user @user @user @user Levy left us short last season but Kane saved our season. This time you may see us drift.
TXT_00185,Positive,Neutral,MIXED_SENTIMENT,"Cautious optimism with hedging language ('may', 'under pressure') — genuine borderline case",@user going by the last 3 games yes.I think son may bring last season Kane back.He under to much pressure .We expect to 
TXT_00698,Positive,Negative,MIXED_SENTIMENT,Political sarcasm praising Clinton — positive intent wrapped in attacking language about Citizens United,"""Hillary's passionate about overturning Citizens United because she knows 1st hand what it's done to our democracy"""
TXT_00181,Neutral,Negative,FACTUAL_CONTEXT,"""committed manslaughter"" is factual-news report; crime vocabulary triggers Negative",This is the 2nd time Caitlyn Jenner has committed manslaughter #BruceJenner
TXT_00379,Negative,Neutral,FACTUAL_CONTEXT,Political complaint about scheduling — nuanced critique reads as factual statement,The GOP's greatest crime? @user Boehner proposes Obama speech be on the same night as NFL opening night...
TXT_00288,Negative,Positive,FACTUAL_CONTEXT,"""Amazon Prime day is a bust"" — 'bust','save us' contain positive char-grams ('save','us')","Amazon Prime day is pretty much a bust at this point. Black Friday, its up to you to save us."
TXT_00708,Neutral,Positive,FACTUAL_CONTEXT,Historical concert fact ('Madonna performs') triggers Positive via celebrity excitement vocabulary,"April 21, 1985 Madonna performs Like A Virgin on The Virgin Tour in Costa Mesa at the Pacific Amphitheatre"
TXT_00216,Neutral,Negative,SARCASM_IRONY,"""I may not like this movie. Except it has Chuck Norris"" — humorous/ironic reversal; ':-))'  emoji underweighted",Golam Globus-OK-here's the deal: I may not like this movie. Except it has Chuck Norris in it. :-))
TXT_01201,Neutral,Positive,SARCASM_IRONY,"""said no one ever"" sarcasm idiom — model misses rhetorical inversion, picks up exclamatory char-grams","Man, I am going to change my vote based on Axl Rose’s opinion said no one ever. Politico: C’MON MAN"
TXT_00312,Positive,Negative,SARCASM_IRONY,Ironic fan loyalty comment — sarcastic phrasing triggers negative features,"@user like tomorrow if Dana white tweeted what a glory fan he is, these same people would come running so hard they'd fa"
TXT_00099,Positive,Neutral,MILD_POSITIVE,Player preference expressed neutrally ('it'd be...1st choice') — no strong exclamatory markers,"If I could have any soccer player I want it'd be Prince Boateng,David Beckham or Neymar Jr....Beckham is 1st choice"
TXT_00305,Positive,Neutral,MILD_POSITIVE,"""Wish I was going"" expresses mild desire/regret — legitimate borderline between Positive and Neutral",Wish I was going to see Sam Smith at the Toyota center tomorrow
TXT_00171,Negative,Neutral,AMBIGUOUS_LABEL,'dont get paid till saturday but im going...' — complaint + plan; arguably Neutral; label debatable,"dont get paid till saturday but im going traffod centre tonight, cba"
TXT_00222,Negative,Neutral,AMBIGUOUS_LABEL,"""OMG...I'm so sad"" — excitement about artist then sad emoji; mixed enough that Neutral label is arguable","OMG Mali Music is going to be in Philly tomorrow! At the Liacouras Center, performing at the Kingsmen tour! I’m so sad."
TXT_00664,Neutral,Positive,AMBIGUOUS_LABEL,"""Let's try and beat..."" gaming stream — enthusiastic call-to-action labelled Neutral; arguable",One hour to our Thursday Stream! Let's try and beat the Rotten in Dark Souls 2 this time! #twitch
