text_id,post_text,text_clean,sentiment_label,sentiment_label_id,topic_category,topic_category_id
TXT_00001,some1 come wait in line with me Thursday at 3@target bc briana is being a bitch,some1 come wait in line with me Thursday at 3@user bc briana is being a bitch,Negative,0,Community_Discussion,1
TXT_00002,Mancity strikers Aguero and Dzeko you better thrash Bolton tomorrow night!,Mancity strikers Aguero and Dzeko you better thrash Bolton tomorrow night!,Positive,2,Community_Discussion,1
TXT_00004,"""Sicily may form grand coalition, Italian UDC Party leader: (AGI) Rome - On Monday Rocco Buttiglione, the leader ...","""Sicily may form grand coalition, Italian UDC Party leader: (AGI) Rome - On Monday Rocco Buttiglione, the leader ...",Neutral,1,Community_Discussion,1
TXT_00005,@user @user If the comment was in reference to the 'Charlie Hebdo' violent attack in january: it is no less repugnant. In my opinion,@user @user If the comment was in reference to the 'Charlie Hebdo' violent attack in january: it is no less repugnant. In my opinion,Negative,0,Community_Discussion,1
TXT_00006,@user @user aaaah. Nokia used to make the Best Phone Cameras Ever.  Sadly I think those days may be past.,@user @user aaaah. Nokia used to make the Best Phone Cameras Ever. Sadly I think those days may be past.,Negative,0,Community_Discussion,1
TXT_00008,"""When gaza march out pon the battlefield it's a funeral... israel burial, gazaaa me seh""","""When gaza march out pon the battlefield it's a funeral... israel burial, gazaaa me seh""",Negative,0,Community_Discussion,1
TXT_00009,"""WLS Quick Look """" Caitlyn Jenner - 1st Public Reunion with Ex Wife #Selfie """"","""WLS Quick Look """" Caitlyn Jenner - 1st Public Reunion with Ex Wife #Selfie """"",Neutral,1,Feature_Feedback,2
TXT_00010,"""1st game played under Solar Powered floodlights in the world happened in MYSA,Nairobi Kenya. #PhilipsLED""","""1st game played under Solar Powered floodlights in the world happened in MYSA,Nairobi Kenya. #PhilipsLED""",Neutral,1,Technical_Issues,3
TXT_00011,If you're not planning to watch Sharknado 3 tomorrow then idk what you're doing with your life tbh,If you're not planning to watch Sharknado 3 tomorrow then idk what you're doing with your life tbh,Neutral,1,Community_Discussion,1
TXT_00012,"""B4 d hood was placed on Yakub's face, he insisted that he wanted 2 c d rising sun, which he was not allowed.""","""B4 d hood was placed on Yakub's face, he insisted that he wanted 2 c d rising sun, which he was not allowed.""",Neutral,1,Community_Discussion,1
TXT_00013,"@user If all of the Kpop fans came after 1d people will wake up tomorrow and be like """"who is 1d?""""""","@user If all of the Kpop fans came after 1d people will wake up tomorrow and be like """"who is 1d?""""""",Neutral,1,Community_Discussion,1
TXT_00014,If J.Cole and Kendrick Lamar don't realease something February....I'm going to be really sad.,If J.Cole and Kendrick Lamar don't realease something February....I'm going to be really sad.,Negative,0,Community_Discussion,1
TXT_00015,Lakers vs Heat on Jan. 17th! It\u2019s D Wade\u2019s b day... I feel bad he\u2019ll lose on his birthday lololol,Lakers vs Heat on Jan. 17th! It’s D Wade’s b day... I feel bad he’ll lose on his birthday lololol,Negative,0,Community_Discussion,1
TXT_00017,Avril Lavigne says after debuting spring line for Abbey Dawn she may make own ...,Avril Lavigne says after debuting spring line for Abbey Dawn she may make own ...,Neutral,1,Community_Discussion,1
TXT_00018,"For the 1st time @user has a ""High Startup impact""   Does anyone at @user have a clue? #Windows10Fail","For the 1st time @user has a ""High Startup impact"" Does anyone at @user have a clue? #Windows10Fail",Negative,0,Community_Discussion,1
TXT_00019,"""George Osborne: """"Sun will never shine again if Corbyn elected."""" (Well, the Chancellor's defence comments are almost that stupid).""","""George Osborne: """"Sun will never shine again if Corbyn elected."""" (Well, the Chancellor's defence comments are almost that stupid).""",Negative,0,Community_Discussion,1
TXT_00021,Schedule:  Tomorrow:  Relax Next day:  0.12.1 on IOS (also 1st day of school) Next day:  Die.,Schedule: Tomorrow: Relax Next day: 0.12.1 on IOS (also 1st day of school) Next day: Die.,Negative,0,Community_Discussion,1
TXT_00023,"""Christians threatened with violence for worshipping Christ. No, not in Saudi Arabia. In Texas.","""Christians threatened with violence for worshipping Christ. No, not in Saudi Arabia. In Texas.",Negative,0,Community_Discussion,1
TXT_00024,Iqaluit just wouldn\u2019t be Iqaluit without the drunks screaming at each other on a Saturday morning ... depressing buggers.,Iqaluit just wouldn’t be Iqaluit without the drunks screaming at each other on a Saturday morning ... depressing buggers.,Negative,0,Technical_Issues,3
TXT_00025,Anyone looking forward to Bioshock Infinite? Check out this new look at the game!,Anyone looking forward to Bioshock Infinite? Check out this new look at the game!,Neutral,1,Community_Discussion,1
TXT_00026,@user i just ordered one from Amazon it'll be here on Friday let's fucking rOLL,@user i just ordered one from Amazon it'll be here on Friday let's fucking rOLL,Positive,2,Community_Discussion,1
TXT_00027,Miss you - Aaliyah on repeat. too many lost ones pop in my mind. Tribute to them may be on the way from me...look out,Miss you - Aaliyah on repeat. too many lost ones pop in my mind. Tribute to them may be on the way from me...look out,Negative,0,Community_Discussion,1
TXT_00029,9 months from Friday there is going to be another ginormous Baby Boom #CallinIt,9 months from Friday there is going to be another ginormous Baby Boom #CallinIt,Positive,2,Community_Discussion,1
